"Prompt","Answer","Tags"
"When is Step Functions a better choice than writing complex Lambda code?","When orchestrating multi-step workflows with branching, retries, error handling, human approvals, or service integrations requiring state management.","domain2;serverless;integration"
"How do you design idempotent Lambda handlers?","Use unique request identifiers, conditional writes in DynamoDB, deduplicate messages via SQS FIFO, and guard external calls with retries + backoff.","domain2;serverless;architecture"
"What service supports long-running serverless tasks?","AWS Step Functions Express workflows or AWS Batch for jobs exceeding Lambda limits, or containerized tasks on Fargate/ECS.","domain2;serverless"
"How do you integrate Lambda with VPC resources efficiently?","Use VPC-enabled Lambdas with subnets + security groups, rely on shared NAT gateways for egress, and minimize connections by reusing DB connections via RDS Proxy.","domain2;serverless;networking"
"What is RDS Proxy used for?","It manages database connections for Lambda/ECS, enabling connection pooling, IAM authentication, improved failover handling, and protection against connection storms.","domain2;database;serverless"
"When do you choose AWS Outposts?","For workloads requiring low-latency access to on-prem systems, data residency mandates, or local processing while still using AWS APIs and managed services on-premises.","domain2;hybrid;compute"
"How do you deliver compute to disconnected environments?","Use AWS Snowball Edge devices running EC2 instances, Lambda, or S3-compatible storage, syncing with the Region when connectivity returns.","domain2;edge;compute"
"What service handles orchestrated data science notebooks?","Amazon SageMaker Studio provides managed Jupyter notebooks, experiment tracking, pipelines, and integration with managed training/inference.","domain2;ml;compute"
"How do you run HPC workloads on AWS?","Use EC2 Hpc6a or C5n instances with Elastic Fabric Adapter, FSx for Lustre for shared storage, AWS ParallelCluster to orchestrate clusters, and Spot for cost efficiency.","domain2;compute;hpc"
"When should you enable placement groups?","For workloads requiring low-latency, high-throughput networking (cluster PG), distributed fault tolerance (spread PG), or partition-level isolation for large distributed databases.","domain2;compute;performance"
"How do you secure container registries?","Use ECR with image scanning (enhanced by Inspector), enforce IAM policies and lifecycle rules, sign images with Notation, and replicate registries cross-region for DR.","domain2;containers;security"
"What is the strategy for multi-account container deployments?","Use CI/CD pipelines that build once, push to central ECR repository replicated cross-region, and deploy via ECS/EKS clusters with cross-account IAM roles.","domain2;containers;operations"
"How do you provide persistent storage for containers?","Use EFS CSI driver for shared POSIX storage, EBS CSI for block volumes per pod, or FSx for Lustre/ONTAP for specialized workloads.","domain2;containers;storage"
"When is AWS Proton valuable?","Platform teams can define service/environment templates for ECS, Fargate, or Lambda, giving developers self-service deployments with baked-in security and observability.","domain2;containers;operations"
"What is the role of EventBridge Scheduler?","It provides managed cron/schedule invocations for Lambda, Step Functions, or API calls, replacing custom scheduling infrastructure.","domain2;serverless;operations"
"How do you guarantee graceful shutdown of ECS tasks?","Enable container stop timeouts, implement SIGTERM handling, use lifecycle hooks with Auto Scaling to drain connections, and deregister from target groups before termination.","domain2;containers;operations"
"When do you use AWS Fault Injection Simulator for compute?","To validate resilience of EC2, ECS, EKS, or Lambda workloads by introducing controlled failures (latency, instance termination) and observing recovery procedures.","domain2;resiliency;operations"
"How do you manage secrets for containers?","Retrieve secrets at runtime from Secrets Manager or Parameter Store via ECS task ENV, EKS secrets CSI driver, or sidecar containers; avoid baking secrets into images.","domain2;containers;security"
"What is the best practice for container health checks?","Define container-level checks (CMD or HTTP) and combine with ELB target group health checks to ensure tasks are healthy before receiving traffic.","domain2;containers"
"How do you run windowed streaming workloads?","Use Lambda with batches, Kinesis Data Analytics for sliding windows, or Step Functions with Map State for parallel processing, depending on latency requirements.","domain2;serverless;analytics"
"When should you use Service Quotas for compute planning?","Track quotas such as EC2 vCPU limits, Lambda concurrency, or Fargate task counts; request increases proactively to avoid deployment failures.","domain2;operations"
"How do you orchestrate microservices rollouts?","Use feature flags (AppConfig), SQS/EventBridge for async decoupling, canary deployments via CodeDeploy/App Mesh, and monitor with CloudWatch and X-Ray.","domain2;architecture;operations"
"How do you choose the right S3 storage class lifecycle?","Start with S3 Standard for frequent access, move to Intelligent-Tiering for unpredictable patterns, transition to Standard-IA/One Zone-IA for infrequent access, and Glacier Instant/Deep Archive for archival while respecting minimum storage durations.","domain2;storage"
"What mechanisms protect S3 data from accidental deletion?","Enable versioning with MFA delete, configure S3 Object Lock in governance or compliance mode, use AWS Backup or cross-account replication, and restrict IAM policies with explicit denies.","domain2;storage;security"
"How do you design multi-Region S3 writes?","Use S3 Multi-Region Access Points with replication rules, handle replication conflicts with last-writer-wins or application logic, and front with Route 53/CloudFront for global low-latency reads.","domain2;storage;resiliency"
"When should you enable S3 requester pays?","For datasets where consumers pay transfer costs (e.g., public data sets), enabling requester pays ensures data owners only pay for storage while download costs are borne by requesters.","domain2;storage;cost"
"How do you monitor sensitive data in S3?","Use Amazon Macie for automatic discovery and classification, integrate findings with Security Hub/EventBridge, and remediate via step functions or SOAR playbooks.","domain2;storage;security"
"What are best practices for S3 Access Points?","Use S3 Access Points for application-specific policies, limit to VPCs for private access, combine with Object Lambda for response transformation, and manage via Access Point aliases.","domain2;storage;security"
"How do you enforce encryption in transit and at rest for S3?","Require TLS by enforcing aws:SecureTransport, enable default bucket encryption with SSE-KMS using customer-managed keys, and audit via CloudTrail/Config.","domain2;storage;security"
"When do you choose EFS over EBS?","EFS is a managed NFS file system for shared access across multiple instances or Lambda, supports elastic throughput; EBS is block storage for single-instance attachment with high IOPS/throughput needs.","domain2;storage"
"How do you improve EFS performance?","Use provisioned or elastic throughput modes, select General Purpose or Max I/O performance mode, leverage lifecycle policies for infrequent access, and mount in correct AZs with mount targets.","domain2;storage;performance"
"When should you select FSx for NetApp ONTAP?","For enterprise file workloads requiring multiprotocol (NFS/SMB/iSCSI), advanced data management (snapshots, cloning, deduplication), or integration with existing NetApp tooling.","domain2;storage;hybrid"
"What is FSx for Lustre used for?","High-performance shared storage for HPC or analytics workloads, offering sub-millisecond latency, high throughput, and integration with S3 for importing/exporting data.","domain2;storage;hpc"
"How do you replicate EFS across Regions?","Enable EFS replication to designate a destination Region, monitor replication status, and plan failover using DNS updates or automation runbooks.","domain2;storage;resiliency"
"When should you use AWS DataSync?","For online, high-speed data transfers between on-prem/NAS/S3/EFS/FSx, with built-in scheduling, encryption, throttling, and data integrity checks.","domain2;storage;hybrid"
"How do you secure EBS snapshots?","Encrypt volumes with KMS CMKs, copy snapshots across Regions/accounts with re-encryption, use snapshot policies via Data Lifecycle Manager, and restrict sharing with IAM policies.","domain2;storage;security"
"What is AWS Backup vault lock?","Vault lock enforces write-once, read-many retention for backups, preventing deletion or modification outside retention policies (even by root), supporting compliance requirements.","domain2;storage;resiliency"
"How do you orchestrate database backups centrally?","Use AWS Backup with resource assignments for RDS/Aurora/DynamoDB/EFS/FSx, integrate with Organizations for multi-account policies, and monitor compliance dashboards.","domain2;storage;resiliency"
"When is AWS Storage Gateway appropriate?","For hybrid scenarios providing file (SMB/NFS), block (iSCSI), or virtual tape access on-premises with data stored in AWS, enabling gradual migration or backup modernization.","domain2;storage;hybrid"
"How do you enforce least privilege on S3 cross-account access?","Use bucket policies with aws:PrincipalOrgID, S3 Access Points, VPC endpoints with restrictive policies, and IAM roles with condition keys for resource tagging.","domain2;storage;security"
"What is S3 Batch Operations used for?","To run large-scale object actions (copy, tagging, ACL updates, invoking Lambda) on billions of objects using manifest files and managed parallelization.","domain2;storage;operations"
"How do you optimize S3 performance for heavy PUT workloads?","Use random prefixes (no longer strictly required but good for partitioning), enable S3 Transfer Acceleration or Global Accelerator, and use multipart uploads for large objects.","domain2;storage;performance"
"When should you choose DynamoDB over RDS?","For NoSQL workloads requiring single-digit millisecond latency, massive scale, flexible schema, and serverless operations; RDS suits relational workloads needing complex joins/transactions.","domain2;database"
"How do you enforce DynamoDB data encryption?","Enable KMS customer-managed keys (including multi-Region), use IAM condition keys for table access, and audit via CloudTrail and DynamoDB Streams.","domain2;database;security"
"What design pattern handles large DynamoDB items?","Store metadata in DynamoDB and offload large blobs to S3 using presigned URLs, maintaining references for retrieval.","domain2;database;architecture"
"How do you run consistent global reads with DynamoDB?","Use DynamoDB global tables (2019) for multi-Region writes and reads, enable strongly consistent reads in the same Region, and design conflict resolution strategies.","domain2;database;resiliency"
"When should you use DynamoDB TTL?","To expire time-based items automatically (sessions, cache entries), integrate with Streams for downstream cleanup, and avoid manual deletion tasks.","domain2;database;operations"
"How do you choose between Aurora MySQL and Aurora PostgreSQL?","Pick based on application compatibility, extension requirements, and ecosystem; Aurora PostgreSQL supports PostGIS, advanced analytics, while Aurora MySQL offers parallel query and backtrack.","domain2;database"
"What is Aurora Global Database?","A multi-Region deployment with a primary cluster and up to five secondary Regions, replicating with latency <1s, enabling fast failover and local reads.","domain2;database;resiliency"
"How do you protect RDS databases from compromise?","Use encryption at rest (KMS), enforce TLS, rotate credentials via Secrets Manager, enable IAM auth, audit with CloudTrail/Enhanced Monitoring, and restrict network access.","domain2;database;security"
"When do you use RDS Proxy?","For connection pooling and resiliency with Lambda/ECS apps, to reduce failover impact and mitigate storms during scaling events.","domain2;database;serverless"
"How do you implement read scaling for RDS?","Add read replicas (in-region or cross-region), use reader endpoints (Aurora), implement caching layers, and direct read-heavy traffic accordingly.","domain2;database;performance"
"What problem does Amazon Keyspaces solve?","Provides managed Apache Cassandra-compatible wide-column database with automatic replication, pay-per-request capacity, and serverless operations.","domain2;database"
"When should you adopt DocumentDB?","For workloads requiring MongoDB compatibility with managed infrastructure, supporting aggregation pipelines, TTL indexes, and auto scaling storage.","domain2;database"
"How do you design cross-Region disaster recovery for RDS?","Use cross-Region read replicas or Aurora Global Database, replicate secrets, stage infrastructure via CloudFormation, and script failover using Route 53 or custom tooling.","domain2;database;resiliency"
"What service simplifies schema conversion during migrations?","AWS Schema Conversion Tool automatically converts database schemas and code from Oracle/SQL Server to PostgreSQL/MySQL-compatible engines, flagging manual remediation items.","domain2;migration;database"
"How do you achieve zero RPO for transactional workloads?","Use synchronous replication (Aurora Multi-AZ DB clusters, RDS Multi-AZ with two readable nodes), ensure quorum-based writes, and plan for high network latency implications.","domain2;database;resiliency"
"When should you use AWS Lake Formation?","To centralize data lake governance, manage Glue Data Catalog permissions, enforce column/row-level security, and simplify cross-account data sharing.","domain2;analytics;governance"
"How do you ingest streaming data at scale?","Use Kinesis Data Streams or Amazon MSK for durable ingestion, optionally integrate Kinesis Data Firehose for delivery to S3/Redshift/OpenSearch, and scale via shard partitioning.","domain2;analytics;streaming"
